,Title,Area,Location,Bookmarks,Positive Review,Negative Review,Review Count,PriceRange,Genre
19,N.28 Teppanyaki,Tsim Sha Tsui,"G/F, Kam Wing Commercial Building, 28 Minden Ave, Tsim Sha Tsui",1266,,,,$401-800,"['Japanese', 'Teppanyaki']"
20,Nan Ei Sui San 南瀛水產,Tsim Sha Tsui,"5/F, Tern Plaza, 3A-3C Cameron Road, Tsim Sha Tsui",40498,,,,$201-400,"['Japanese', 'Seafood']"
21,家後,Sham Shui Po,"G/F, 211 Ki Lung Street, Sham Shui Po",25621,482,3,(563 Reviews),Below $50,"['Japanese', 'Noodles/Rice Noodles']"
22,Wulu Restaurant 醉胡爐,Tsim Sha Tsui,"G/F, Perfect Commercial Building, 20 Austin Avenue, Tsim Sha Tsui",31439,872,13,(955 Reviews),$201-400,"['Japanese', 'Hot Pot']"
23,NIHON RYORI 日本野,Mong Kok,"9/F, Ginza Plaza, 2A Sai Yeung Choi Street South, Mong Kok",27565,685,42,(805 Reviews),$101-200,"['Japanese', 'Roast Meat']"
24,KUROMON AQUATIC JAPANESE RESTAURANT 黑門水產すいさん,Tsim Sha Tsui,"Shop 3 & 4, G/F, 8 Minden Avenue, Tsim Sha Tsui",37021,739,34,(848 Reviews),$201-400,"['Japanese', 'Seafood']"
25,Mokumoku Yakiton (厚福街),Tsim Sha Tsui,"16/F, The Lamma Tower, 12 Hau Fook Street, Tsim Sha Tsui",26422,525,14,(561 Reviews),$201-400,"['Japanese', 'Skewer']"
26,Lucky Ristorante,Mong Kok,"Shop 301B, 3/F, 618 Shanghai Street, Mong Kok",13625,401,6,(456 Reviews),$101-200,"['Japanese', 'Pizza']"
27,Kobekyu (Nathan Road) 吉列牛忌廉烏冬專門店 (彌敦道),Mong Kok,"17/F, 726 Nathan Road, Mong Kok",49769,796,58,(1107 Reviews),$101-200,"['Japanese', 'Udon']"
28,Not Just Coffee (Man Hoo Court) 不籽是咖啡 (文豪閣),Yau Ma Tei,"Shop D, G/F, Man Hoo Court , 450 Nathan Road, Yau Ma Tei",28674,360,14,(460 Reviews),$101-200,"['Japanese', 'Coffee Shop']"
29,Yakiniku Shin 燒肉臻,Tsim Sha Tsui,"Shop 102, 1/F, Multifield Plaza, 3-7A Prat Avenue, Tsim Sha Tsui",20283,417,4,(443 Reviews),$201-400,"['Japanese', 'BBQ']"
30,Tenohira Sushi 掌壽司,Kwun Tong,"Flat U, 5/F, Block 3, Camel Paint Buildings, 60 Hoi Yuen Street, Kwun Tong",33052,760,34,(919 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
31,Grandmama Cafe 婆婆珈琲屋,Tsim Sha Tsui,"1/F, The Nate, 176 Nathan Road, Tsim Sha Tsui",35964,273,17,(479 Reviews),$101-200,"['Japanese', 'Dessert']"
32,Pancake House HoiHoi (Megabox),Kowloon Bay,"Shop 19-20, 1/F, Enterprise Square Five, Megabox, 38 Wang Chiu Road, Kowloon Bay",9456,407,17,(525 Reviews),$101-200,"['Japanese', 'Dessert']"
33,Issyokemen 一生懸麵,Mong Kok,"G/F, 73 Tung Choi Street, Mong Kok",27399,400,10,(533 Reviews),$51-100,"['Japanese', 'Ramen']"
34,Gekiyasu Yakiniku 驚安燒肉商店,Tsim Sha Tsui,"Shop C, 3/F, China Insurance Building, 48 Cameron Road, Tsim Sha Tsui",36025,289,3,(332 Reviews),$201-400,"['Japanese', 'Wine']"
35,Uni.kotomo 海膽仔,San Po Kong,"Shop Q, G/F, San Po Kong Mansion, 2-32 Yin Hing Street, San Po Kong",8556,582,10,(637 Reviews),$101-200,"['Japanese', 'Ramen']"
36,Tian Jian IZAKAYA 天澗居酒屋,Yuen Long,"G/F, 79&81 Kau Yuk Road, Yuen Long",2897,,,,$201-400,"['Japanese', 'Izakaya']"
37,Wagyu Yakiniku Ichiro (All Branches) 和牛燒肉一郎 (寶漢大廈),,3 branches,,,,,$201-400,"['Japanese', 'BBQ']"
38,Ryou Dou Raku 漁道樂,Tsim Sha Tsui,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",20437,,,,$401-800,"['Japanese', 'Seafood']"
39,Asa 朝,Prince Edward,"G/F, 39 Tai Nan Street, Prince Edward",11284,349,15,(386 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
40,Easy Joe 二世祖,Tai Kok Tsui,"G/F, 18 Fuk Tsun Street, Tai Kok Tsui",26540,370,9,(454 Reviews),$101-200,"['Japanese', 'Dessert']"
41,MUTA Restaurant by ATUM,Tsim Sha Tsui,"Shop B131, B1/F, Mira Place One, 132 Nathan Road, Tsim Sha Tsui",26415,391,7,(447 Reviews),$101-200,"['Japanese', 'Yoshoku']"
42,Kausumisu 牛匠石燒,Tsim Sha Tsui,"G/F, Fook Kiu Mansion, 34-36A Cameron Road, Tsim Sha Tsui",13468,467,11,(524 Reviews),$201-400,"['Japanese', 'Ramen']"
43,Kane Tsuru Ramen (Min Street) 金鶴拉麵 (閩街),Jordan,"G/F, 3 Min Street, Jordan",24824,736,13,(866 Reviews),$101-200,"['Japanese', 'Ramen']"
44,Waki Shokudo (Wong Tai Sin Shopping Centre) 和氣食堂 (黃大仙中心),Wong Tai Sin,"Shop G12A, G/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",13025,919,15,(1055 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
45,TONO DAIKIYA 殿 大喜屋,Tsim Sha Tsui,"1/F, 26 Kimberley Road, Tsim Sha Tsui",83531,790,43,(1093 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
46,Sushi Sho 翔壽司,Tsim Sha Tsui,"Shop 4, G/F, Dorfu Court, 5-6 Hau Fook Street, Tsim Sha Tsui",16732,470,6,(530 Reviews),$51-100,"['Japanese', 'Sushi/Sashimi']"
47,Years (Fuk Lung Building) 素年 (福隆大廈),Sham Shui Po,"Shop 1, G/F, Fuk Lung Building,191-199 Fuk Wah Street, Sham Shui Po",37687,357,4,(460 Reviews),$101-200,"['Japanese', 'Vegetarian']"
48,Akita Hamayaki 秋田浜燒食堂,Tsim Sha Tsui,"G/F, 8 Observatory Court, Tsim Sha Tsui",13141,581,1,(597 Reviews),$401-800,"['Japanese', 'Seafood']"
49,Ganso Tsukemen 元祖沾麵專門店,Tsim Sha Tsui,"Shop 5, G/F, Dorfu Court, 5-6 Hau Fook Street, Tsim Sha Tsui",24307,817,134,(1152 Reviews),$101-200,"['Japanese', 'Ramen']"
50,DONYIN DINER 丼燃食堂,Mong Kok,"Shop 6, G/F, Hung Wai Building, 3-5 Fa Yuen Street, Mong Kok",12116,329,5,(376 Reviews),$51-100,"['Japanese', 'Sushi/Sashimi']"
51,Black Wood Izakaya (Cameron Road) 黑木亭居酒屋 (金馬倫道),Tsim Sha Tsui,"G/F-1//F, Kok Pah Mansion, 58-60 Cameron Road, Tsim Sha Tsui",19476,399,16,(444 Reviews),$201-400,"['Japanese', 'Robatayaki']"
52,Ajidouraku (Hanoi Road) 味道樂居酒屋 (河內道),Tsim Sha Tsui,"G/F, 2 Hanoi Road, Tsim Sha Tsui",19675,650,16,(717 Reviews),$101-200,"['Japanese', 'Izakaya']"
53,KEBABEER 串酒里,Tsim Sha Tsui,"Shop B, G/F,  6 Hillwood Road, Tsim Sha Tsui",23283,743,21,(826 Reviews),$101-200,"['Japanese', 'Roast Meat']"
54,Yakitoriya Hon 燒鳥屋本,Tsim Sha Tsui,"Shop B2, G/F, Carnival Mansion, 15B Austin Avenue, Tsim Sha Tsui",1083,,,,$101-200,"['Japanese', 'Skewer']"
55,Wagyu Yakiniku Ichiro (All Branches) 和牛燒肉一郎 (寶漢大廈),,3 branches,,,,,$201-400,"['Japanese', 'BBQ']"
56,N.28 Teppanyaki,Tsim Sha Tsui,"G/F, Kam Wing Commercial Building, 28 Minden Ave, Tsim Sha Tsui",1266,,,,$401-800,"['Japanese', 'Teppanyaki']"
57,Sushi Tokumi 德美壽司,Tsim Sha Tsui,"5/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",29243,553,20,(741 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
58,Fifth Element Shokudo 五要素食堂,Tsim Sha Tsui,"Shop L308, 3/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",12330,305,14,(363 Reviews),$101-200,"['Japanese', 'Yoshoku']"
59,Kane Tsuru Ramen (Kowloon City Road) 金鶴拉麵 (九龍城道),To Kwa Wan,"Shop B, G/F, Luen Yip Building, 10-16A Kowloon City Road, To Kwa Wan",7994,486,6,(548 Reviews),$101-200,"['Japanese', 'Ramen']"
60,Mikazuki 三日月,Tsim Sha Tsui,"Shop B, 2/F, Cameron Plaza, 23 Cameron Road, Tsim Sha Tsui",12255,376,11,(402 Reviews),$401-800,"['Japanese', 'Teppanyaki']"
61,Naruto Japanese Restaurant 鳴門割烹料理,Kowloon Bay,"shop 2, 2/F, Exchange Tower, 33 Wang Chiu Road,, Kowloon Bay",9235,366,18,(438 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
62,Hamataki 浜滝,Kowloon City,"Shop A, G/F, 59 Fuk Lo Tsun Road, Kowloon City",20685,570,34,(662 Reviews),$201-400,"['Japanese', 'Ramen']"
63,Ajidouraku (Un Chau Street) 味道樂居酒屋 (元州街),Cheung Sha Wan,"Shop C, G/F, Green Court, 498 Un Chau Street, Cheung Sha Wan",19182,519,19,(617 Reviews),$101-200,"['Japanese', 'Izakaya']"
64,Uosei Japanese Restaurant 漁正居酒屋,Jordan,"G/F, Kam Ling Building, 42 Pilkem Street, Jordan",6291,302,8,(329 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
65,KOKON2 古今二,Tsim Sha Tsui,"Shop 502, 5/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",5153,313,6,(329 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
66,Bella Shine,Kwun Tong,"Room B, 2/F, Speedy Industrial Building, 114 How Ming Street, Kwun Tong",29245,525,33,(647 Reviews),$101-200,"['Japanese', 'Skewer']"
67,逸 壽司,Tsim Sha Tsui,"Shop A2A & A2B, G/F, Astoria Building, 24-38 Ashley Road, Tsim Sha Tsui",5357,264,4,(280 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
68,Japanese Wagyu Yakiniku Pure 和牛燒肉‧純,Tsim Sha Tsui,"Shop 3,1/F, Hilton Towers, 96 Granville Road, Tsim Sha Tsui",37617,577,6,(647 Reviews),$401-800,"['Japanese', 'Roast Meat']"
69,Big Bang Don 爆丼屋,Kowloon Bay,"Shop 21-22, 1/F, Megabox, Enterprise Square Five, 38 Wang Chiu Road, Kowloon Bay",2807,270,11,(314 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
70,TSUKADA NOJO 塚田農場,Tsim Sha Tsui,"Shop OTE 202, 2/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",47433,298,53,(536 Reviews),$201-400,"['Japanese', 'Hot Pot']"
71,Hiyama 日山,Tsim Sha Tsui,"Shop OTE302, 3/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",35884,150,7,(225 Reviews),$401-800,['Japanese']
72,N.28 Teppanyaki,Tsim Sha Tsui,"G/F, Kam Wing Commercial Building, 28 Minden Ave, Tsim Sha Tsui",1266,,,,$401-800,"['Japanese', 'Teppanyaki']"
73,Tian Jian IZAKAYA 天澗居酒屋,Yuen Long,"G/F, 79&81 Kau Yuk Road, Yuen Long",2897,,,,$201-400,"['Japanese', 'Izakaya']"
74,Yakitoriya Hon 燒鳥屋本,Tsim Sha Tsui,"Shop B2, G/F, Carnival Mansion, 15B Austin Avenue, Tsim Sha Tsui",1083,,,,$101-200,"['Japanese', 'Skewer']"
75,上戶酒場,Kowloon City,"Shop A, G/F, Lung Cheung Court, 33-39 Lung Kong Road, Kowloon City",7788,281,2,(298 Reviews),$201-400,"['Japanese', 'Izakaya']"
76,Reiwa ShabuShabu & Sake 令和鍋物酒場,Tsim Sha Tsui,"G/F - 1/F, Luxury Court, 9 Hau Fook Street, Tsim Sha Tsui",9181,297,4,(321 Reviews),$101-200,"['Japanese', 'Izakaya']"
77,Wa Shou Yakiniku 和匠日式燒肉店,Jordan,"Shop 3, G/F, Tak Wai Building, 23-27 Cheong Lok Street, Jordan",26881,823,22,(899 Reviews),$201-400,"['Japanese', 'Roast Meat']"
78,Akune Wagyu Tachikui Yakinikumise 阿久根和牛立燒店,Mong Kok,"Shop 8, G/F, Ngai Hing Mansion, 2-24 Pak Po Street, Mong Kok",12369,341,6,(373 Reviews),$101-200,"['Japanese', 'Roast Meat']"
79,Reiwa ShabuShabu & Sake 令和鍋物酒場,Mong Kok,"1/F, Fee Tat Commercial Centre, 613 Nathan Road, Mong Kok",17037,318,8,(366 Reviews),$101-200,"['Japanese', 'Izakaya']"
80,Mai Hei 米気,Hung Hom,"Shop G32, G/F, Pebbles World (Site 3), The Whampoa, Hung Hom",24295,200,16,(319 Reviews),$101-200,"['Japanese', 'Yoshoku']"
81,Arashiyama Japanese Restaurant 嵐山日本料理,Tsim Sha Tsui,"G/F, 11 Minden Avenue, Tsim Sha Tsui",41880,601,10,(690 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
82,boku no ramen 僕之拉麵,Mong Kok,"G/F, 74 Soy Street, Mong Kok",4891,302,7,(339 Reviews),$51-100,"['Japanese', 'Ramen']"
83,SAKEH,Tsim Sha Tsui,"G/F - 1/F, The Bauhinia, 5-9 Observatory Court, Tsim Sha Tsui",15633,470,8,(504 Reviews),$201-400,"['Japanese', 'Wine']"
84,PokéToké,Mong Kok,"Shop 1, G/F, Paradise Square, 3 Kwong Wa Street, Mong Kok",9984,281,9,(324 Reviews),$51-100,"['Japanese', 'Salad']"
85,Deluxe Daieiki Japanese Restaurant 極尚大瀛喜日本料理,Kwun Tong,"5/F, One Pacific Centre, 414 Kwun Tong Road, Kwun Tong",38950,682,17,(833 Reviews),$201-400,"['Japanese', 'All-you-can-eat']"
86,Poke Go (大南街),Sham Shui Po,"G/F, 211 Tai Nan Street, Sham Shui Po",13256,263,3,(293 Reviews),$51-100,"['Japanese', 'Organic Food']"
87,Deluxe Daikiya Japanese Restaurant (Crocodile Center) 極尚大喜屋 (鱷魚恤中心),Kwun Tong,"3/F, Crocodile Center, 79 Hoi Yuen Road, Kwun Tong",10874,464,8,(513 Reviews),$201-400,"['Japanese', 'All-you-can-eat']"
88,ISHINABE CAFE 石鍋堂,Mong Kok,"Shop D, G/F, Hung Kwong Building, 2A-2P Tung Choi Street, Mong Kok",17983,341,18,(440 Reviews),$51-100,"['Japanese', 'Curry']"
89,Superior Manya Japanese Restaurant 御滿屋日本料理,Mong Kok,"1/F, Wu Sang House, 655 Nathan Road, Mong Kok",56420,846,71,(1054 Reviews),$201-400,"['Japanese', 'Ramen']"
90,Nan Ei Sui San 南瀛水產,Tsim Sha Tsui,"5/F, Tern Plaza, 3A-3C Cameron Road, Tsim Sha Tsui",40498,,,,$201-400,"['Japanese', 'Seafood']"
91,Yakitoriya Hon 燒鳥屋本,Tsim Sha Tsui,"Shop B2, G/F, Carnival Mansion, 15B Austin Avenue, Tsim Sha Tsui",1083,,,,$101-200,"['Japanese', 'Skewer']"
92,Wagyu Yakiniku Ichiro (All Branches) 和牛燒肉一郎 (寶漢大廈),,3 branches,,,,,$201-400,"['Japanese', 'BBQ']"
93,Floom Floom 鳥語,Tsim Sha Tsui,"10/F, The Lamma Tower, 12-12A Hau Fook Street, Tsim Sha Tsui",32921,311,47,(518 Reviews),$101-200,"['Japanese', 'Coffee Shop']"
94,Mt. Chokai 鳥海山鐵板燒,Cheung Sha Wan,"Shop 18, G/F, Florence Plaza, 23 Cheung Wah Street, Cheung Sha Wan",4561,233,7,(255 Reviews),$201-400,"['Japanese', 'Teppanyaki']"
95,Shichi Fuku San Japanese Restaurant 七福神和食亭,Jordan,"1/F, 311-313 Nathan Road, Jordan",44476,1175,37,(1430 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
96,Tosu 鳥棲日本料理,Kwun Tong,"Shop S, 5/F, Camelpaint Building Block 3, 60 Hoi Yuen Road, Kwun Tong",18230,377,13,(458 Reviews),$101-200,"['Japanese', 'Skewer']"
97,OH YAMA JAPANESE RESTAURANT 大山日本料理,Mong Kok,"2/F, 2W-2X Sai Yeung Choi Street South, Mong Kok",9567,219,6,(251 Reviews),$101-200,['Japanese']
98,Ranbashi Donburi Restaurant 嵐橋丼飯專門店,Tsim Sha Tsui,"Shop BCD, Rich Tower, 2 Blenheim Ave, Minden Ave, Tsim Sha Tsui",26899,512,6,(558 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
99,Itsupon Syokudou 一本食堂,Kwun Tong,"3/F, 30 Hung To Road, Kwun Tong",6934,267,4,(299 Reviews),$51-100,"['Japanese', 'Ramen']"
100,Yahataya Shabu Shabu 八幡屋涮涮鍋,Mong Kok,"12/F, King Wah Centre, 628 Nathan Road, Mong Kok",42801,1093,72,(1296 Reviews),$201-400,"['Japanese', 'Hot Pot']"
101,秘 (偉晴街),Jordan,"G/F, 11 Wai Ching Street, Jordan",27939,298,6,(393 Reviews),$101-200,"['Japanese', 'Roast Meat']"
102,Katsuo Udon (Camelpaint Building) 鰹烏冬 (駱駝漆大廈),Kwun Tong,"Room T, 2/F, Block 3, Camelpaint Building, 60 Hoi Yuen Road, Kwun Tong",23558,181,8,(288 Reviews),$51-100,"['Japanese', 'Udon']"
103,Tenkichiya 天吉屋,Mong Kok,"Shop 25-29, 11/F, Langham Place Shopping Mall, 8 Argyle Street, Mong Kok",16321,365,35,(487 Reviews),$101-200,['Japanese']
104,Dai Wagyu Stone Grill 大和牛石燒專門店,Ngau Tau Kok,"Shop 123, G/F, TBG Mall, 3 Ngau Tau Kok Road, Ngau Tau Kok",3703,281,2,(308 Reviews),$101-200,['Japanese']
105,Meat Fight 肉搏食堂,Tsim Sha Tsui,"G/F, 2A Hau Fook Street, Tsim Sha Tsui",4519,266,24,(352 Reviews),$101-200,['Japanese']
106,Yume no don 夢の丼,To Kwa Wan,"G/F, Hang Shing Building, 2-10 Tam Kung Road, To Kwa Wan",5650,258,1,(289 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
107,一起食堂 (威利廣場),Kwun Tong,"Shop G5, G/F, Westley Square , 48 Hoi Yuen Road, Kwun Tong",5553,315,1,(346 Reviews),Below $50,"['Japanese', 'Taiwan']"
108,Wagyu Yakiniku Ichiro (All Branches) 和牛燒肉一郎 (寶漢大廈),,3 branches,,,,,$201-400,"['Japanese', 'BBQ']"
109,Ryou Dou Raku 漁道樂,Tsim Sha Tsui,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",20437,,,,$401-800,"['Japanese', 'Seafood']"
110,Yakitoriya Hon 燒鳥屋本,Tsim Sha Tsui,"Shop B2, G/F, Carnival Mansion, 15B Austin Avenue, Tsim Sha Tsui",1083,,,,$101-200,"['Japanese', 'Skewer']"
111,Reiwa Izakaya 令和居酒屋,Mong Kok,"G/F, Kin Wong Mansion Stage II, 111-127 Sai Yee Street, Mong Kok",11622,324,7,(356 Reviews),$101-200,"['Japanese', 'Roast Meat']"
112,Tokyo Street (Sai Yeung Choi Street South) 東京街日本料理 (西洋菜南街),Prince Edward,"B, G/F, 228 Sai Yeung Choi Street South, Prince Edward",9001,209,2,(228 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
113,Ryou Dou Raku 漁道樂,Tsim Sha Tsui,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",20437,484,34,(586 Reviews),$401-800,"['Japanese', 'Seafood']"
114,YAKINIKU KAKURA (黃埔天地聚寶坊),Hung Hom,"Shop G1&G3, G/F, Treasure World (Site 11), The Whampoa, Hung Hom",11772,228,3,(252 Reviews),$201-400,"['Japanese', 'Roast Meat']"
115,Taisyou 大將,Mong Kok,"Shop R1, B/F, FoodYum, T.O.P This is Our Place, 700 Nathan Road, Mong Kok",13674,351,21,(428 Reviews),$201-400,"['Japanese', 'Hot Pot']"
116,PAN de PAIN Pancake & Sweets (K11購物藝術館),Tsim Sha Tsui,"Shop B111B & B111C, B1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",36457,518,98,(1092 Reviews),$51-100,"['Japanese', 'Dessert']"
117,Kura Tobi 蔵鳶居酒屋,Tsim Sha Tsui,"Shop 7-8, G/F, 44-46 Carnarvon Road, Tsim Sha Tsui",8126,231,5,(252 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
118,Ramen Bari-Uma (Kimberley Road) 霸嗎拉麵 (金巴利道),Tsim Sha Tsui,"G/F, 26 Kimberley Road, Tsim Sha Tsui",33734,636,45,(924 Reviews),$51-100,"['Japanese', 'Ramen']"
119,Eat Over Night 深宵食堂,Mong Kok,"3/F, Ladder Dundas, 575 Nathan Road, Mong Kok",11779,283,5,(308 Reviews),$101-200,['Japanese']
120,MOKUTAN 黑木,Tsim Sha Tsui,"Shop 2, G/F, 8 Kimberley Street, Tsim Sha Tsui",12612,398,5,(415 Reviews),$401-800,"['Japanese', 'Skewer']"
121,Tokyo Chikara Meshi 東京チカラめし,Mong Kok,"Shop G8, G/F, The Forest, 17 Nelson Street, Mong Kok",6102,257,19,(340 Reviews),$51-100,['Japanese']
122,La Famille,Tsim Sha Tsui,"Shop B102B, B1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",5332,251,2,(285 Reviews),$201-400,"['Japanese', 'Dessert']"
123,Boon,Kwun Tong,"Shop G, 14/F, Yip Win Factory Building, 10 Tsun Yip Lane, Kwun Tong",14979,192,12,(250 Reviews),$101-200,"['Japanese', 'Upper-floor Cafe']"
124,Menya Shinsho 麵屋神匠,Mong Kok,"Shop B, G/F, 562 Nathan Road, Mong Kok",3976,200,5,(221 Reviews),$51-100,"['Japanese', 'Ramen']"
125,Kuuraku 喰楽,Kwun Tong,"Shop H, 9/F, Phase 3, Camel Paint Building, 60-62 Hoi Yuen Road, Kwun Tong",11974,185,2,(203 Reviews),$201-400,"['Japanese', 'Hot Pot']"
126,Tian Jian IZAKAYA 天澗居酒屋,Yuen Long,"G/F, 79&81 Kau Yuk Road, Yuen Long",2897,,,,$201-400,"['Japanese', 'Izakaya']"
127,Wagyu Yakiniku Ichiro (All Branches) 和牛燒肉一郎 (寶漢大廈),,3 branches,,,,,$201-400,"['Japanese', 'BBQ']"
128,N.28 Teppanyaki,Tsim Sha Tsui,"G/F, Kam Wing Commercial Building, 28 Minden Ave, Tsim Sha Tsui",1266,,,,$401-800,"['Japanese', 'Teppanyaki']"
129,IKKYU Japanese Causal Restaurant (38 Plaza) 一休(居食屋)日本料理 (38廣場),Mong Kok,"1/F, 38 Plaza, 38 Shantung Street, Mong Kok",13478,342,23,(455 Reviews),$101-200,"['Japanese', 'Ramen']"
130,Ebisoba Ichigen 一幻拉麵,Tsim Sha Tsui,"Shop OT G59, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",12395,255,24,(488 Reviews),$101-200,"['Japanese', 'Ramen']"
131,Gyushige (MW Plaza) 牛繁 (MW Plaza),Tsim Sha Tsui,"G/F, MW Plaza , 40 Kimberley Road, Tsim Sha Tsui",26315,391,17,(472 Reviews),$201-400,"['Japanese', 'Roast Meat']"
132,Japanese Restaurant Doraya (Hau Fook Street) 定食 Doraya (厚福街),Tsim Sha Tsui,"6/F H8, 8 Hau Fook Street, Tsim Sha Tsui",37685,343,11,(476 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
133,十常八九,Sham Shui Po,"G/F, 2 Wong Chuk Street, Sham Shui Po",26163,131,2,(163 Reviews),$51-100,"['Japanese', 'Dessert']"
