,Title,Area,Location,Bookmarks,Positive Review,Negative Review,Net Positive Review,Review Count,PriceRange,Genre,Food,Street,addr
21,上戶酒場,Kowloon City,"Shop A, G/F, Lung Cheung Court, 33-39 Lung Kong Road, Kowloon City",7789.0,281.0,2.0,279.0,298,$201-400,"  Japanese ,  Izakaya  ",  Izakaya  , 33-39 Lung Kong Road,33-39 Lung Kong Road Kowloon City
22,Taisyou 大將,Tseung Kwan O,"Shop F10, 1/F, PopCorn, 9 Tong Yin Street, Tseung Kwan O",16107.0,435.0,16.0,419.0,521,$201-400,"  Japanese ,  Hot Pot  ",  Hot Pot  , 9 Tong Yin Street,9 Tong Yin Street Tseung Kwan O
23,Yume no don 夢の丼,To Kwa Wan,"G/F, Hang Shing Building, 2-10 Tam Kung Road, To Kwa Wan",5650.0,258.0,1.0,257.0,289,$201-400,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 2-10 Tam Kung Road,2-10 Tam Kung Road To Kwa Wan
24,YAKINIKU KAKURA (黃埔天地聚寶坊),Hung Hom,"Shop G1&G3, G/F, Treasure World (Site 11), The Whampoa, Hung Hom",11772.0,228.0,3.0,225.0,252,$201-400,"  Japanese ,  Roast Meat  ",  Roast Meat  , The Whampoa,The Whampoa Hung Hom
25,Boon,Kwun Tong,"Shop G, 14/F, Yip Win Factory Building, 10 Tsun Yip Lane, Kwun Tong",14979.0,192.0,12.0,180.0,250,$101-200,"  Japanese ,  Upper floor Cafe  ",  Upper floor Cafe  , 10 Tsun Yip Lane,10 Tsun Yip Lane Kwun Tong
26,Cocolo Tokyo Cake Factory (利東街),Wan Chai,"Shop B36, B1/F, Lee Tung Avenue, 200 Queen's Road East, Wan Chai",3796.0,214.0,0.0,214.0,230,$51-100,"  Japanese ,  Ice Cream/yogurt  ",  Ice Cream/yogurt  , 200 Queen's Road East,200 Queen's Road East Wan Chai
28,Manya Japanese Restaurant (Chung On Street) 滿屋日本料理 (眾安街),Tsuen Wan,"10/F, Tai Hung Fai (Tsuen Wan) Centre, 55 Chung On Street, Tsuen Wan",35368.0,680.0,85.0,595.0,885,$201-400,"  Japanese ,  All you can eat  ",  All you can eat  , 55 Chung On Street,55 Chung On Street Tsuen Wan
29,FUMI,Central,"6/F, California Tower, 30-32 D'Aguilar Street, Central",40139.0,257.0,13.0,244.0,314,$401-800,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 30-32 D'Aguilar Street,30-32 D'Aguilar Street Central
30,Gochi,Lok Fu,"Shop L104A&B, L211-214, UG/F & 1/F, Lok Fu Plaza , 198 Junction Road, Lok Fu",9527.0,153.0,8.0,145.0,203,$101-200,"  Japanese ,  Wine  ",  Wine  , 198 Junction Road,198 Junction Road Lok Fu
31,Trinity (Li Yuen West Street) 三一餃子 (利源西街),Central,"G/F, 7 Li Yuen West Street, Central",21907.0,195.0,8.0,187.0,270,$51-100,"  Japanese ,  Wonton/Dumpling  ",  Wonton/Dumpling  , 7 Li Yuen West Street,7 Li Yuen West Street Central
32,Gyuugoku Stone Grill Steak （Queen's Road East） 牛極 (皇后大道東）,Wan Chai,"G/F, 238-240 Queen's Road East, Wan Chai",5308.0,118.0,0.0,118.0,133,$51-100,"  Japanese ,  Teppanyaki  ",  Teppanyaki  , 238-240 Queen's Road East,238-240 Queen's Road East Wan Chai
